#,Empresa,Categoría,Perfil ciclo,Dirección (Zaragoza),Teléfono,Web,Prioridad,Notas,Estado convenio,Tutor/a dual responsable,Persona de contacto,Fecha contacto,Resultado / seguimiento
1,Aratecnia Sistemas y Servicios,Soporte IT empresas,SMR/ASIR,"C. Pedro Villacampa 48, 50015",976 52 45 84,aratecnia.es,Alta,Mantenimiento IT pymes,Sin contactar,,,,
2,Goya Soluciones Informáticas,Soporte IT empresas,SMR/ASIR,"Av. Puente del Pilar 37, 50014",976 30 28 58,goyasoluciones.com,Alta,,Sin contactar,,,,
3,Informática Ingenia,Soporte IT empresas,SMR,"Camino de las Torres 4, 50002",976 31 74 12,ingenia-aragon.es,Alta,Soporte hw/sw,Sin contactar,,,,
4,OnSAT Servicios Informáticos,Soporte IT empresas,SMR/ASIR,"C. El Acorazado Potemkin 3, 50019",976 79 20 41,onsat.es,Alta,SAT + consultoría,Sin contactar,,,,
5,Albada Servicios Informáticos,Soporte IT empresas,SMR,"C. Miguel de Cervantes 24, 50006",976 46 83 38,albada.es,Alta,,Sin contactar,,,,
6,Tempus Informática,Soporte IT empresas,SMR/ASIR,"C. Reina Fabiola 37, of. 124, 50008",976 59 16 07,tempus.es,Alta,,Sin contactar,,,,
7,Carrie Servicios Informáticos,Soporte IT empresas,SMR,"C. Lastanosa 30, 50010",976 30 02 48,carrieserviciosinformaticos.es,Media,,Sin contactar,,,,
8,MEGASTAR,Soporte IT empresas,SMR,"Andador Paula Montal Fornés 4, 50018",976 46 66 44,megastar.es,Media,Particulares y empresas,Sin contactar,,,,
9,Informática Miranda Digital (Sage),Soporte IT empresas,SMR/DAW,"Andador Paula Montal Fornés 4, 50018",976 56 99 30,imdigital.es,Media,Partner Sage + web,Sin contactar,,,,
10,iDoo Tech,Soporte IT empresas,SMR,"Av. Gómez Laguna 25, pl. 5, 50009",976 91 01 30,idootech.com,Media,Apple / pymes,Sin contactar,,,,
11,SolucionesDS,Soporte IT empresas,SMR,"C. Martín Carrillo 5, 50001",976 46 80 69,solucionesds.es,Media,Partner Lenovo,Sin contactar,,,,
12,Pernía Informática,Soporte IT empresas,SMR,"C. Dr. Iranzo 90, 50002",976 13 37 91,perniasistemas.com,Media,Tienda + consultoría,Sin contactar,,,,
13,Acosis,Soporte IT empresas,SMR/ASIR,"C. José Mª Lacarra de Miguel 40, 50008",976 30 24 10,,Alta,,Sin contactar,,,,
14,Aragonesa de Tecnología,Soporte IT empresas,SMR/ASIR,"Av. Valencia 28, pl. 6 of. 1, 50005",976 42 93 73,,Alta,,Sin contactar,,,,
15,Atlas Proyectos Informáticos,Soporte IT empresas,SMR/ASIR,"Av. Cesáreo Alierta 23-25, of. 113-114, 50008",976 59 08 45,,Alta,SAP Business One + soporte,Sin contactar,,,,
16,ZILON Informática para empresas,Soporte IT empresas,SMR,"C. Añón 18, 50002",633 32 44 00,,Media,,Sin contactar,,,,
17,Infoelite,Soporte IT empresas,SMR,"C. Adolfo Aznar 28, 50018",976 74 21 43,,Media,,Sin contactar,,,,
18,Visualcom Soluciones Informáticas,Soporte IT empresas,SMR,"C. Felisa Galé 1, 50014",976 25 90 99,,Media,Mismo grupo que Ahora Express / Zierzo,Sin contactar,,,,
19,ACCIONET,Soporte IT empresas,SMR/ASIR,"C. Francisco Rallo Lahoz 29, 1ºD, 50011",976 37 39 73,,Media,Servicios TIC,Sin contactar,,,,
20,eMenntun,Soporte IT empresas,SMR,"C. Coso 102, entlo. of. 4, 50001",646 81 07 61,,Baja,"Unipersonal, formación",Sin contactar,,,,
21,Planea Soluciones,Soporte IT empresas,SMR/DAW,"C. San Agustín 8, 50002",876 66 10 10,,Media,Web + email + soporte,Sin contactar,,,,
